review,별점
힐링영화 삶이 지치고 힘들때 아무생각없이 보면 힐링되요,10
어른으로써 아이들을 꼭 지켜줘야 할 의무가 있다는걸 깨닺게 해준 영화 입니다.,10
갠적으로 중반부까지는 나쁘지 않게 봤는데 후반부가 개연성이 떨어지고 점점 지루해져서 아쉬웠음,4
개그도 있고 액션도 잡았네요~!! 영화 볼 거 없을 때 보시는 거 강추!! 드립니다!!,9
두번 세번 보는데 배우들의 연기나 비쥬얼도 좋았고 스토리도 좋았고 반전도 이런종류에 반전은 제기준에선 난생처음이라 너무너무 새로웠고 신선했어요로코 장르중에 거의 탑에 꼽힐정도에요,10
"나는 누구든 될 수 있고 , 넌 누구여도 사랑할",10
내가본 국내 자동차 액션 영화 Top1차쟁이라면 분명 좋아할 영화고 OST도 찰떡이라 보는 내내 되게 몰입하면서 봤어요개인적으로 2가 나오길 기대해봅니다,10
안중근 의사의 업적과 일제침략시대를 버텨왔던 국민들의 고통과 같은 감정들을 뮤지컬 장르로 시도하여 더욱 폭발적으로 느낄 수 있게 해준 영화였다. 살짝 어설프고 뻔하고 오글거려 아쉬운부분도 있지만 장점이 더 많아 좋았다.,8
스토리 짜임새 있고 인물간 사연도 많다. 흐름이 잔잔하지 않고 사건사고가 많아 보는 내내 흡입력이 있다. 그나저나 30년 전에 만든 영화라 그런가 패션은 돌고 돈다는 말이 이해가 된다. 촌스럽게 보이지 않는 스타일링이 소소한 재미. 뭔가 옛날인데 멀게 안느껴지는 영화,8
극장판으로 개봉 했으면 편집이라도 하던가.처음부터 중간 스토리 시작엔딩과 오픈닝을 몇번을 보고.뭐야 끝인가? 어이없네 1점도 아깝다.,1
감동과는 거리가 멀지만 나름 스토리나 흐름이 중상정도는 영화로서 흠이라면 주연보다는 조연의 중요성을 일깨우는 영화이다.극중 수진으로 나오는 배우의 역량은 다시금 짚고 넘어갈일이다.이후로도 작품활동이 왕성했음 문제지만 다행스럽게도 활동이 없는게 관객들에게 큰 위안이 된다.,7
내가 본 영화중 가장 환상적인 영화,10
역경에 굴하지 않고 나아가는 정신력,7
딱봐도 느낌오잖아 다들 ~,1
폭탄 소재와 잠수함 딜레마의 연결고리가 헐겁다.,4
작화는 좋았지만 내용은 뭔가 유치했다..그래도 노래는 잘 뽑았다,8
스토리랄게 딱히없고 뭘 표현하고 싶은지도 모르겠는영화.. 남는건 노래가 좋았다,6
넷플에 떳길래 너무 반가워서 봤는데중딩 시절 감성...그때유행했던 템들 구경이랑핸드폰 문자랑 패싸움ㅋ 울프컷ㅋ인소에 자주등장하던 일찐들 스토리 늑대의유혹은 영화보단 인소볼때가 감동이나 몰입이훨~씬더컷지만ㅎㅎ영화보면서 그때 소설볼때 엉엉 밤새 울어가며 보던 기억도 되살아 나고 ㅋㅋ중딩시절 모습이나 생각이 떠올라서..추억여행되고 넘 좋았음..!,10
8점대는 아니고 6점 정도가 적당할듯,3
8점대는 아니고 6점 정도가 적당할듯,3
신고,4
"보기 전엔 ""왜 평이 그렇게 낮지? 아니 송강호, 이병헌, 전도연이 나오는데 망할 수가 있나?"" 하면서 초반 20분 봤는데 ""오 그래도 그 정도까진 아닌데?"" 하다가,,, 계속 보니 유치한 스토리에, 진부한 스토리에, 진짜...이젠 이런 류로 영화 만들면 100퍼 망합니다. 솔직히 이런 영화 소재 웬만한 거 나올 거 다 나온 거 알잖아요. 스토리 좀 더 짜내시길.. 솔직히 시간 버렸음. 왜 욕을 먹은지 알게됨.",4
마녀+7광구 ㅋㅋㅋ 마녀 흉내내고 싶었나본데 발끗도 못따라가는건 물론이고 연출마저 너무 구림 이게 진짜 22년에 나온 영화가 맞는지 의심이 들정도 꼴에 시즌2 떡밥까지 남겼는데 진짜 한숨나오는 영화는 오랜만에 봤음 주연급 배우들 중반에 다 주겨놓고 남은 반동안 개떡같은 스토리 떡밥회수하느라 고생했다 ㅋㅋㅋ감독님 저 진짜 감독님 작품 재밌게 본거 많은데 이젠 은퇴하는게 맞는거같아요  와 진짜 좋아하는 배우들 나와서 평점 쓰레기여도 일단 보자는 마인드로 시청했는데 이건 정도가 좀 지나쳐 나 이렇게 조잡한 영화 진짜 오랜만에 봐 3류 독립영화 수준도 아니야 이거는 아니 심각한 영화에 웃음포인트가 너무 많은거 아니냐? 앜ㅋ극한직업 흉내낸거구나? 그치? 그것도 아니면 진짜 답이없어 이영화는,2
토르 짭 같기도하고ㅋ 저게 뭐야 싶었는데결국은 역시 마블이라 재미는 있던데 ㅎ아쉽긴함 토르 넘 멋잇어,8
뭐 이리 싱겁고 연출도 허술하고 음악도 유치뽕짝에 남주나 배우들의 동작이 굼뜨기 짝이없다....실제 그렇게 싸우다가는 조금 쌈 좀 잘하는 놈 만나면 맞아 죽지...제임스는 안 될 걸알면서도 왜 덤벼서 손모가지를 날리는지? ㅋㅋ완전 B급의 정수를 보여준다....남주의 근육은 높이 사준다....남성적인 영화를 만든다고 베드씬은 배제한 것 같은데...가뜩이나 볼 거 별로 없는데 여배우들이라도 벗겨 보여줄 건 보여줬어야 했다...그렇게 하기에도 제작비를아끼다 보니 외모도 따라주지 않아서 그렇게 못했나? 아님 애들 관객까지 끌어들이고 싶었나? 어차피 홈 비디오용으로. 나올만한 건데 벗기는 건 너무 과하다 싶었겠지.,5
"정말 지금봐도 참신한 소재이고, 많은걸 깨닫게 해준다. 배우들의 연기력도 감탄스럽고,역시 짐캐리는 명배우이다.",10
이걸 돈주고 본다고???,1
끝까지 뭐라도 나오나 기다렸지만 끝까지 뭐라도 나온게없다.,5
휴 .내가 이시간에 뭘 본건지 절대 연인끼리 볼 영화가 아니에요,2
연기력이 뒷받침되니  상당히  첫영화지만 즐겁게  봣어여,10
10년이 지난 지금 봐도 스펙터클한 타격감은 아직도 맨 오브 스틸 뛰어 넘는 영화가 없다.,10
어라.. 나 왜 울고있지?,10
신고,10
나름 킬링타임은 충분히 해준다,6
신고,6
평점이 왜 낮은지 모르겠네요...,10
냄새나는 씹 레즈영화레즈 스토리 걷어내면 7점 정도 스토리 앞뒤가 안 맞는 부분이 너무 많음 애초에 안 잡아 죽인것도 이해가 안 가고 그 똑똑하던 남주가 레즈한테 멍청해짐,1
부담없이 보는 코메디 영화,10
너무 재밌습니다박성광 화이팅 대박나세요^^,10
악평으로 논란을 만든 평론가에게큰절 해야되는 작품,1
웅녀 설화를 남자 버전으로 만들긴 했으나 아무리 영화라고 봐주려고 해도 너무 개연성이 없었음.. 웃음 포인트도 모르겠고 피식도 안 했고 왜 개콘이 망했는지 알 거 같더라.. 그냥 CGV 서프라이즈 쿠폰 주길래 마침 소울메이트 보는 날이라 소울메이트 끝나는 시간이랑 잘 맞아떨어져서 봤는데 그냥 소울메이트만 보고 집에 올 걸 후회했다. 정말이지 이 배우들로 뭐하는 건지 배우들이 너무 아까운 영화였음..,4
취향 저격이라 정말 재밌게 봤는데 평점이 이해 안감개인적으론 곡성보다 훨씬 재밌고 이성민 연기 미쳤음..물론 다소 얄팍하고 깊이가 없는 부분은 중간중간 있지만 재밌었다!!,10
도르마무... 하.. 보다보면 개 짱나는 영화 ㅋㅌㅋㅋ,4
별점 높은거 뭐냐 알바풀었나ㅋㅋ 개노잼영화 ..보는내내 시간이 너무 아까워 분노가 치밀어 올랐다,1
연예인도 사람임 참 이런 인간미 다큐 넘나 좋은거 같네요~^^,9
"어렸을 적의 꿈을 간직하고 성장하는 과정, 그 자체만으로도 매우 아름다운 이야기였습니다...",10
너무 재밌어서 시간가는줄 몰랐어용,10
"명화란 이런것이다..억지로 만든 감동,신파가 아니라 잔잔히 흘러가는 감동... 이게 영화다",10
이게 실화라니 참 안타까우면서도 정말 대단하다,10
진짜 배우분들 하나같이 연기 잘하셔요!!스토리도 너무 좋았고 마무리도 무언가 깔끔하고 담백해서 좋았습니다.,10
호불호는 많이 탈듯 화이팅,6
1편 만큼만 하면 괜찮겠지 했는데 비슷한듯 샤잠이랑 블랙아담 만나는씬을 기대했건만.. 정말 아쉽다 그건,7
두 여성의 다른 방식의 연애,7
재난 소재는 좋았으나 전작 두 작품 보다는 떨어지는듯그래도 나름 잘 보긴 했음,6
연기력 영화 내내 우울감좋아하지만현실의 넥스트 소희 없길 바랍니다,8
싫어요 누른 인간들 극혐이다.. 강아지들 너무 귀여움 내 강아지들도 많이 사랑해,10
노랑머리 여자는 죄값을 받았네 결국...쫌 가기 싫어 하는데 왜 데리고 가는데 ..,8
브렌든 프레이저의 아카데미 수상을 보고 여기까지 다시 찾아보곤 스필버그 시대의 영화들이 주던 순수한 영화를 보는 기쁨을 느낀다…그리고 이때의 브렌든은 목소리까지도 참 섹시하고 레이첼은 왜 아직 기품있는 여배우인지 과거부터 싹수가 보였네!,10
틴토 양반 뚱구멍 탐닉 그 나이에 이런 걸 존경,8
너무 잼있어요,10
진짜 잼있음 원래 액션영화 잘 안보는데 이거 진짜 존잼,10
영상미가 예뻤어요어린이가 보기엔 재밌을 것 같아요,5
반려견하고 같이 있어서 웬만함 만점 주고 싶은데 이게 무슨 반려견 영화인가 싶다,1
노래를 적당히 넣어야지   이건 노래판이네   연기가아니고    흐름 다깨짐   이런영화는 진짜 별루이네요,2
신고,10
명작 중의 명작... 입니다,10
신고,10
원작은 보진 않았지만 원작 소울메이트 한국 개봉 제목으로 앞에 안녕 나의를 넣었는데 한국판 제목에선 왜 안녕 나의를 뺏는지 영화를 보니 알 수 있었고 처음에 예고만 보고 동성애 영화인 줄 알았는데 전혀 아니었고 막상 영화를 보니 우정에 관한 이야기더라.. 배우들 연기와 케미가 무엇보다 좋았고 배우들이 감정선들을 잘 표현해줘서 그 부분들은 좋았다. 제주도를 다시 가보고 싶을 만큼의 영상미도 좋았는데 다만 나에게는 공감이 가지 않는 이야기였고 약간 지루하긴 했지만 그래도 마지막에는 몰입이 되면서 반전이라면 반전일 수도 있겠고 잔잔하면서도 감동과 여운이 남는 영화였다.,7
일본 영화는 낭만이 있는데 한국 영화는.. 간이 쏙 빠지게 웃긴 사나이가 온다! 이OO하고있으니,1
반전은 아주 훌륭했으나 전개해 나가는 과정의 몰입도가 최상이었던건 모르겠음ㅎㅎ 초반 몰입도는 굉장했는데 중반부터 반전 나오기 전 까지는 지루함이 느껴졌지만 반전 하나로 8점은 줄수 있음,8
마크 월버그 좋아요. 재미 있어요.,10
신고,10
누가 죄인인가………누가 죄인인가……,10
그들의 연기! 그리고 따듯함.,10
재미있던데요?ㅋㅋㅋ 이렇게 빵빵 터질 정도로 웃겼던 영화본 게 언제인지ㅋㅋㅋ 역시 박성웅 연기 훌륭하고요 넘 머시쪄용♡,10
감상포인트: 갤가돗 미모. 그 뿐  후반으로 갈수록 많이유치해서 정말 12세정도가 보면 적당하다 싶었음. 애들이랑 보기에 선정적인 단어 한번 나옴,6
이런 영화가 제작이 되고 극장에서 상영이 된다는게 정말 신기할 따름... 관객이 우습냐????,2
꼭 봐야하는 영화 그래고 배우,10
신고,8
미쳤다… 제 인생작입니다 너무 재미있고 유쾌한 영화네요. 웃음이 끊이질 않았습니다 이런영화가 더 많이 나왔으면 좋겠네요.,10
"어느 포인트에서 웃어야할지,  감동을 받아야할지 전혀 모르겠습니다.  ㅠ",2
재밌네요 이건의씨의 소감이 궁금합니다,10
떠난 이의 부재를 모든 것의 부서짐과 연결지은 것이 너무나 적합한 연출이다. 주인공이 자신의 마음을 서서히 분해하고 열어보는 과정 속에 떠난 이와 보낸 모든 추억이 담겨있어서 심장이 아렸다.,10
ㅎㅎㅎ재밌읍니다ㅎㅎ,10
"제주의 푸른 분위기, 배우님들의 연기가 정말 좋았던 영화였습니다.",10
꿀잼^^ 배우들연기좋고 연출좋았어요.힐링하기 좋은영화 화이팅합니다.,9
신고,8
진정한 웰다잉입니다. 좋은 영화 감사합니다.,10
좋았어요,7
신고,10
스토리 개연성 부분에서 아쉬움을 느꼈는데 해석 같은 거 찾아보니까 많이 해소되었어요 두번 보면 다이진 때문에 슬플 것 같아요 ㅠㅠ 작화가 좋고 여운도 꽤 남아요,7
근래 본 가슴아픈. 마음이 따뜻해지는.감동적인 영화,10
여자평균 8.87?? 8.87 영화로는 미이라2가 있다제정신인가?,1
박성웅남이였다 마지막에 까메오 보고 깜놀함,8
그냥 그냥~~~박성웅님 없으면 쓸개빠진 곰인듯,6
굿 박성광은 진짜 천자다,10
배우들의 연기와 탄탄한 스토리 마지막엔 진한 감동까지 생각보다는 재밌었습니다까메오 출연 부분에서는 기대해도 좋습니다,8
여기서도 아빠는 없군요. 엄마들만의 고군분투네요.,10
기대 이상! 잔잔한 감동& 여운...,9
신입사원 역만 할수밖에 없는 배우라던 임시완이 아니다 이런 이미지로도로도 제법 악역을 소화할 수 있네. 시간 잘 가고 몰입감도 좋았다 다만 마지막 총은 어디서 나온거냐,8
노래가 진짜 좋네요 계속 머릿속에 떠돌아요,7
"그 시대 당시에 이러한 갱스터들이 많았다는 것이 놀랍고, 또 그 많은 갱스터들을 거의 다 잡은 경찰들도 놀랍다.",8
스톰보이 잘봤습니다,6
그럭저럭이네요....,5
재미있게 잘봤어요..,7
재밋엇어요 팝콘용화  ?good,10
지금까지의 뻔한 내용의 전계가 아니라 오랜만에 접한 새로운 느낌의 가족 영화입니다. 과연 가족은 무엇일까?그저 같이 산다고 가족일까?가족의 행복은 무엇일까?....많은 것을 생각하게 해준 고마운 영화입니다.이런 영화를 만들어 주셔서 감사합니다.,9
개봉 했을때보고 5년 만에 다시봤는데도 너무 감동적이에요 ㅠ…..,10
그럭저럭 잘봤습니다..,6
원작도 잘봤는데 잘봤어요,7
재미있게 잘봤습니다,6
그냥 그럭저럭입니다..,4
여러 감정을 느낄수있던 영화였습니다,10
신고,10
"신카이 마코토 작품들 중 3번째 작품인데 전 이번 작품이 가장 좋았습니다. 화려하지만 어리럽지 않은 아름다운 화면, 그리고 결국 마음을 울리는 서정성은 이번 작품이 가장 뛰어났다고 생각합니다.",9
그럭저럭,6
시간과 돈을 아끼세요 여러분들. 호기심이 기분을 망칩니다. 영화관은 거리두기 풀려도 절대 티켓값 안내리면서 이딴걸 만칠천원에 본다는건 돈과 시간에 대한 예의가 아닙니다.,1
쿠팡으로 봤는데 생각보다 너무 재밌게 봤네요,10
영화관에서 볼때는 그냥 그랬는데 몇년이 지나고 다시 보니까 인생영화가 될 것 같다,10
.,4
생각보다 빵빵터지는 장면이 많이 나와 관객들하고 함께 웃었어요,10
그냥 전종서 연기랑 힙한 음악을 즐기기엔 괜찮은 킬링타임용 영화,8
개콘 보는거 같았어요웃을 수가 없어요,1
재밌게 봤어요 !  간만에 코믹영화 본거 같네요,10
"모나를 향한 사회의 시선은 정신병원을 탈출한 위험한 중증 환자, 알 수 없는 힘을 가진 악마 그 자체였지만 사실은 누구보다 순수하고, 사람에게 깊게 상처받아 자기 자신을 간절히 지키고 싶은 한 어린 소녀로 느껴졌습니다.반대로 모나의 눈에 비친 사회와 어른들의 모습은 어땠을지 그리고 어떤 감정을 느꼈을지 다시 한번 생각해 보게 되더군요. 여운이 깊은 영화였습니다.",10
하루에 한번씩 보고싶네요내일 또 볼려구요..,10
신고,8
10년 전에 보고 넷플릭스에서 새로 봤습니다. 다시 봐도 명작. 시나리오 작가는 천재인듯.,10
신고,10
신고,10
긴장감 있게 잘 봤습니다. 반전도 좋았어요.,9
재밌었어요 추천합니다 ㅎㅎ,7
진심 농구팬아니라도 잘봤습니다. 아담샌들러!감사합니다.,10
신고,9
역시나 박성광은 개그맨이였다. 출연한 배우들에게 박수~,2
너무 많이 재미 없었습니다,2
좋은 영화에요. 책으로 읽고 영화로 다시 봤는데 역시나 감동입니다.,10
너무 재밌고 10번은 본듯,10
진짜 평점 조작은 하지맙시다 영화값도 올랐는데 이런 식으로 일반인들 등처먹고싶어요?,1
딱히 임팩트는 없었음 그래도 평타는 침,4
영화를 보고 난 뒤 제목을 다시 보면 새삼 소름 끼친다.,8
평점이 좋아서 봤는데 너무 재미없어요……스토리도 영상도 웃음포인트도 정말 이도저도아닌 느낌……배우들이 아까워요,1
익숙한 웃음.,6
노잼 핵노잼 중반부까진 아내역과 큰딸역 배우들이 연기력으로 멱살 잡고 하드캐리 하였으나 중반이후부터는 그것도 통하지 않게 만드는 막장으로 뒤엉킨 스토리로 몰입감을 매우 방해한다.중반까지만 보고 꺼야할 매우 망작 넷플릭스 한국영화 탑텐에 오른게 의아할 정도 뒷돈챙겼나?,2
잃어버린 것을 확인하려면 결국에 다시 문을 열고 봐야 한다는 것,8
나만당할수없다.옛다별다섯개,10
연기와 연출만은 10점을 넘긴다,10
시간지나서 다시 보니 너무 유치하다.,1
감정 울림이 미쳤다....,10
조고각하 해라...,5
주지훈 나와서 깜놀ㅋㅋㅋㅋ,10
클레멘타인 이후 최고의 평점을 주는 날이 올 줄이야,10
영화 개봉했을때 군복무 시절이라 듣고만 지나가고 몇년 지나 본건데 오랜만에 영화다운 영화 본 것 같네요 재밌고 감동도 있고 여운도 있고 좋았습니다,10
김고은님  빼고  학외회  같은 나 연기 하고있어   같은  느낌의 영화,2
신고,10
손을 꽉 지게 만드는 영화였다.잠시라도 긴장을 놓을 틈이 없었다.,10
단 하나의 주제로 이런 색채를 보여주다니,10
"기대이상으로 재미있다. 로또 사면 일주일 간 설렌다는데, 이 영화 역시 러닝타임 내내 재미있고 즐거웠다. 이번 주엔 나도 1등..?",10
"인도영화 재밌네!!! 감동과 재미와 볼거리, 스토리,연기력 다 잡았다. 독특한 인도만의 정서와 전개가 매력적으로 느껴지는! 마칠때 박수와 웃음이 저절로 터져나오는 수작!",10
원작에 대한 존중과 리메이크로서 할 수 있는 참신함.,7
"그 많은 우주속에서, 내 딸을 구할 수 있는 에블린은 지금의 에블린이 유일하기에, 나는 지금을 선택하겠다.",10
쿠쿠~쿠쿠~쿠쿠~쿠쿠!,8
그림자는 빛이 없으면 존재할 수 없다.,8
나를 담기에 영화가 너무 크다.감당이 안됨.극장에서 망할수밖에 없음...,6
나도 엠플렉스보는중 30분지남 아직까진 괜찮음ㅋ,7
그럭저럭 볼만하였습니다...,7
기대치를 내려놓으면 그나마...,4
"8점 대는 결코 아닌거같아서 일부러 1점6점 중반이면 그나마 납득가능원래 리뷰 안쓰는데 8점 용납하기 힘듬스토리가 너무 축약임문에 대한 이야기는 없고 갑자기 애기들 돌보는게 나오고 뭐,,,갑자기 목숨거는 사랑에 빠지고...익스펙토펙트로놈...이 리뷰를 스포일러가 있다고 해야할지....고양이들은 왜 있는진 알겠는데뭔가 많이 빠진 느낌;",1
생각보다 훨씬 괜찮았습니다.,8
동양인이라 쌀만먹는다고 하면 인종차별이라지만 정작 해커캐릭터로 만들어버리네..,4
누군가에겐 기피되는 사람들이 다른 누군가에겐 누구보다 소중한 사람이 될 수도 있다..,9
"너무 재미있게 봤고 3회차 관람 했을 때 가장 재미있었습니다. 큰 화면으로 볼수록 좋아요.보면 볼수록 캐릭터들이 실제 지인들처럼 느껴지기 시작해서 객관적으로 평가하기가 어렵습니다..그만큼 정이 가는 작품이란 뜻이지요 ㅎㅎ 마스코트 캐릭터를 두 개나 넣어서 아주 굿즈로 뽕뽑아먹으실 듯 합니다. 마코토 감독님의 상업력이 오르셨네요^^ 개연성이 없다던가 너무 진부하다던가 하는 여러 비평들이 존재하는 것 같은데 스즈메는 여러번 봐야 제대로 이해가 되는 영화라고 생각합니다. 배경정보도 약간 필요하고요.저도 처음 봤을 때는 재밌으면서도 어리둥절한 기분이었습니다. 영화에서 분명히 설명이 나왔던 내용인데 본인이 놓친 거면서 그부분을 빈약하다며 비판하는 분들은 좀 그렇네여,, 물론 모두가 영화를 여러번씩 봐가며 분석하는건 아니니 과몰입 오타쿠에게는 취향저격이었음에도 가볍게 시청하고자 한 대중들에게는 부족한 영화일 수 있습니다. 이 영화의 장점이며 동시에 단점이 되는 특징이지요.스포가 될 수 있으니 자제하겠지만 스즈메가 금사빠라서 얼렁뚱땅 스토리가 진행되었다는 것만은 반박하고 싶습니다… 기본적으로 타임루프물입니다. 현재의 스즈메가 존재하려면 미래의 스즈메가 과거의 스즈메를 잘 만나야하기 때문에, 더불어 과거에 만났던 기억이 있기에 스즈메가 소타를 보고 반응했던 것이라고 생각합니다. 이상 오타쿠의 두서없는 주저리였습니다..",10
인종차별의 피해자가 겪었을 슬픔을 조금이나마 간접적으로 느끼게 만드는 연출이 인상적이었습니다,8
그냥 쓰레기다...,2
다큐멘터리 보는듯이 담담하게 리얼하게 보여주는 영화.. 너무 정적이라 잠깐 졸수도있다..,10
알바들아 내돈 돌려내라 배경지식하나도없이 네이버평점 높길래 여친이랑보러갔는데 영화시작할때부터 얼탱이가없더라,1
후반에 감동이 크다 또 한 번 더 보고 싶은 영화,10
"반전의 반전이었고, 주인공 똑똑하다 ㅋㅋㅋ서치1도 재밌었는데 2역시 짱잼",10
뭔가 오묘하다.,7
요약하면 내용이진짜 별거없음ㅋㅋㅋ초반에만 재밌고 그 이후는 되게 지루하고 영화가 되게 길게 느껴짐ㅠ영상미도 그냥저냥..??ost만 계속 듣고있음 ㅋㅋ여주 목소리가 너무 앵앵(?)거려서 거슬림,6
"가을이 지나면 겨울이 오겠지만, 그 겨울을 견디면 또 봄이 오겠지요. 걷힌 안개속에 풍경이 애나와 훈에게, 그들에게. 따스한 봄이었길 희망합니다.",10
극장은 못가고 라프텔에 유료나와서 방금 봤네요.애니만 보신분들은 재밋게 보셨을것같고전생슬처음 보신들은 이해하기 어려울듯하네요애니3기가 기대됩니다^^,10
영화속에 수면제가 좀 들어 있네요.,5
이게 영화다.영화다운 영화,10
돈이 아깝지는 않은 영화입니다. 앤트맨 와스프 보려다가 이거 봤는데 아주 탁월한 선택이었네요.,5
사랑해 전종서 전종서 사랑해,10
"사람들은 아름다워, 대단해",10
0점 없나요...하아,1
임팩트가 있긴 있습니다,10
엉뚱한듯 일상적인 이야기 속에서 삶과 관계에 대한 통찰이 번뜩인다.,10
재미있게 봤어요  ㅋㅋ   시간가는줄 모르고,10
"It was the best movie I’ve seen this year. Steven Spielberg, he’s just brilliant and a amazing man.",10
신고,10
"가까워지기도, 멀어지기도 하지만 결국 떨어질래야 떨어질 수 없는 영화와 우리의 삶, 그리고 꿈과 현실",9
화려한 액션씬... 처절한 전개,1
볼만함. 나쁘지않은듯,10
가족 구성원 그 누구에게서도 위안을 받거나 기댈 수 없는 주인공의  삶에 대한 애착이 애처러웠습니다ㅠ 보는 내내 마음이 먹먹허니..삶의 가치에 대해 다시 한 번 생각하게 되네요.,8
이걸 왜 이제야 봤을까!아무 생각 없이 봤는데 첫 시작부터강렬한 음악이 날 압도했다!,10
신고,10
"""세상엔 총든 간첩만 있는게 아니지. 오랜시간 다분야로 깊숙히 자리잡아 국가전복을 목표로 현재도 임무수행 중인 테러세력들. 전라도.""",1
박성광의 개콘시절에 개그가 좀 더 낫다,5
뭐.. 소름돋는 부분이 많은듯..,10
이게왜....8점이넘냐...아 나만당할수없다 심리인가,1
왜 평점이 낮지?현재의 한국 정서를 너무나도 잘 반영하고 있는데.. 극단적 이기주의로 점점 빠르게 가고 있는 한국인데..이런 영화는 반드시 필요하지.,10
보세요진짜. 초대박 쩔어,10
슬램덩크 주인공만 알고갔는데 진짜 너무 재미있었음. 나는 특별상영관(?)에서 사람들이랑 다같이 응원봉 두드리면서 응원했는데 꿀잼 ㅋㅋㅋ그리고 마지막부분이 진짜 긴장감 넘친다..,10
보는내내 피해자들 생각에 눈물이 낫다 ㅜㅜ연출력 미쳣네요,10
"어린 세대는 이해하기 힘든 심오한 멧세지가 담겼다. 이름에서도 웅남이는 남한/웅북이는 북한을 의미하며 서로 싸우기도 하지만 끝으로 한 부모의 보호아래 식사를 하며 웃는 장면은 통일의 염원이 담겨있는 듯 했다. 조작된 코로나를 비웃듯 바이러스 살포로 일확천금을 벌고자 했던 김성태같은 기업인 조폭두목 최민수의 등장도 자연스러웠으며, 친자식 아닌 웅남이를 지극정성 챙겨 거두는 염혜란의 엄마역할에 역시 염배우!!!오달수의 재기작등 이모저모 함축적 의미가 담긴 큰그림의 웅남이였다 52세 박성웅의 25세역할도 볼만한 가족영화! 박성광 감독님 길이길이 잔잔하고 따뜻한 내용의 작품 많이 만드세요 기대합니다^-^",8
스티븐 스필버그는 어떻게 그 나이에 이런영화를... 그저 빛   ...,10
제2의 백만엔걸 스즈코. 실제 인간상을 담았다고 보기엔 무리가 있다.인물들의 성격은 이상적이다. 혹은 그만큼 이 시대의 사람들이 삭막한 걸지도.치히로 상은 자꾸만 죽음이란 것에 마주하게 된다. 그리고 담담하게 그들의 죽음을 고이 포장해준다. 아리무라 카스미의 연기력이 돋보이는 작품.,6
돈주고봤으면....내 불금을 돌려주~,2
엔딩곡 끝날때까지 앉아있다감.. 나는 개인적으로 정말 만족,10
평점 검찰조사 해야한다,2
메리다 장난하냐 지 결혼하기 싫다고 엄마를;;;;그러고서도 자기 잘 못이 아니라고 잡아때는 뻔뻔함;; 플러스 뒤에 또…..;;;; 아오;;;나중에 지키려고 용쓰면 뭐하냐. 최악임진심 사패인지 의심 스럽다,1
잔인한번만볼만하고끝까지봐야답이나온다,6
최고짱짱임구냥보셈ㅋㅋ,10
사서고생한다는 말이 참...난해한건 내 인생만으로도 충분하다,2
지구 최후ㅡ의 밤에 물탄듯,7
신고,2
"지나간 시간을 그리워하고 슬퍼하는 주인공들의 연기가 너무 인상깊었어요여러분들도 지나간 청춘, 젊음을 떠올려 보세요",10
키치하고 스타일리쉬한 모나의 여행기!! 감독의 평소 플레이리스트가 탐날 정도다...,7
오 이거 잘 만들었다. 더 현실적인 엑스맨의 세계관을 보여주는듯.,10
태생부터 가지고 타고난게 많아 곁에 소중한것을 끝까지 지키는방법을 배우지못했던 그녀.상실의아픔을 더 일찍 배울기회가 있었다면 말년에 더 행복할수있었을텐데.. 괜히 안쓰럽고 다시 일어날수있길 응원하게된다.,9
신고,10
"딸에게 뭐가 제일 재미있었냐고 물어보니, 의자 발받침이 위아래로 움직이던 것이라고 하더군요.. (리클라이너 좌석이었습니다)요즘 티켓 값도 비싼데 신중하게 결정하세요.",2
딸이 엄청 똑똑함~위험처할때 애플워치기능 부럽.삼성워치도 가즈아~~!!,10
역시 일본애니는 디즈니에서 볼수없는 장점이 많아요,10
그저 넋 놓고 보게 만드는 그런 화면..구도 색채...아름다웠다,10
너무 재밌었어요~!! 한국 영화에 이런 작품이??? 보면서 얫날 영화중에 소녀x소녀 가 떠올랐음,10
ㄱㄵ,1
크하하앙큭크크큭크크륵크크크 그래도 지연은 이쁘더라,1
초딩 딸래미땜에 두번 봤는데 더 재미있네요. 한번 더 보고싶어졌어요. 4DX로 보니 더 재미있는듯!,10
좋은 배우 좋은 소재 가지고 이따구로 만들수가 있나,1
볼까말까 고민하시는 분들 나중에 집에서 보시지 마시고 영화관에서 보세요 영상미와 연출 색감은 말할 것도 없이 너무 좋았습니다 그런데 ost의 활용도가 좀 떨어져서 아쉽고 장면들도 좀 반복되는 부분들이 있어서 약간 지루했지만 귀여운 다이지는 스즈메 의자 소타 보면서 버텼어요 소타 얼굴이 많이 안 나와서 아쉽긴 했지만 짧게 얼굴 나올 때마다 그 미모가 준 여운이 길게 남아서 괜찮아요 그리고 생각보다 이번 영화 속에는 이전 영화와 달리 재난에 대한 내용이 좀 적나라하고 비중을 많이 차지해서 나와서 놀랐지만 감독님의 인터뷰를 보니 이해되기도 하면서 한편으로는 스즈 메나 소타 과거나 스토리를 더 많이 보여줬었으면 좋았을 텐데 싶어서 아쉬웠어요 여러모로 아쉬운 점이 많지만 영상미가 아닌 스토리에  신경 쓰면서 한 번 더 보고 싶습니다,10
와 진짜 미쳤어요 개연성이 없다구요?? 도대체 어디가요?? 그냥 전체적인 ost도 그렇고 그냥 신카이 마코토가 신카이 마코토 했습니다ㅠㅠ,10
